person_id,result_a_mean,result_a_std,result_h_mean,result_h_std,result_a_max,result_h_max,label
P1_1_f,10.831295276700128,8.651627651861638,2910.671618275439,2910.671618275439,32.673419878702624,8583.75541357045,1
P1_1_w,10.173381305179412,2.251562363450432,3000.153339749985,3000.153339749985,9.6526248513034,9265.820632841971,0
P1_2_f,10.355622810945125,5.455751733798094,2588.3724198357227,2588.3724198357227,27.968223834559105,7948.315607724696,1
P1_2_w,10.213385838415379,1.9755641450308095,2465.2075307561777,2465.2075307561777,9.655691609097714,9025.156563738936,0
P1_3_f,9.953401901012754,3.9716005519571307,1246.2312080757326,1246.2312080757326,17.98568215442495,9249.927729447403,1
P1_3_w,10.151335011798155,2.2755058760235145,2885.5735364717293,2885.5735364717293,7.736726745206917,9403.101296912631,0
P1_4_f,10.409341543154932,6.352647893569048,3619.7827705692653,3619.7827705692653,24.51367661245453,9923.490313392764,1
P1_4_w,10.168891931217864,1.8698518577484866,3295.9324970097186,3295.9324970097186,10.107152287860316,9687.87701201868,0
P1_5_f,11.105587384309159,9.397284152970089,2365.0475193169905,2365.0475193169905,24.25613039645854,8013.9448463288045,1
P1_5_w,10.127448463448422,1.8772849722983407,3367.846336617207,3367.846336617207,8.839695589215728,9291.346780741746,0
P1_6_f,9.792315121107125,5.634703598342834,3882.4403228143838,3882.4403228143838,22.90692555996985,9960.524383786227,1
P1_6_w,10.145845571885523,1.7035504816345397,3093.0606291373406,3093.0606291373406,8.794663412547408,9609.472045851426,0
P1_7_w,10.120422312452469,2.02546563668442,2763.096934896533,2763.096934896533,9.664064745747517,10696.158843248355,0
P1_8_w,10.078021433203599,2.0548511834991077,2928.3454192824943,2928.3454192824943,9.140925285221403,10148.224278168078,0
P2_1_f,10.406006086101437,8.039451674435002,2568.2737711615487,2568.2737711615487,46.799387388725506,11181.828338871957,1
P2_1_w,10.153052990542752,2.233389691459606,1948.4229570789118,1948.4229570789118,9.282354649548788,11043.237976245917,0
P2_2_f,13.269370127394904,21.369094687984887,1442.7040199439946,1442.7040199439946,45.597730442424435,10821.328060825066,1
P2_2_w,10.001382921820579,2.5307096705914676,1548.0618990714304,1548.0618990714304,10.237255717232035,12624.40121352296,0
P2_3_f,8.92065241710927,8.233750364714956,2429.1611149947917,2429.1611149947917,31.200392101382317,11814.37552306511,1
P2_3_w,9.700603470763951,4.106758894315261,1997.2735696540713,1997.2735696540713,13.155463133618671,11223.880701432994,0
P2_4_f,9.918364181871684,6.494038722604695,2194.8032715946333,2194.8032715946333,17.567442174090115,12012.282380963245,1
P2_4_w,9.795486498390789,3.702157754224622,1648.8331083912262,1648.8331083912262,14.211022451956088,11259.006794562298,0
P2_5_f,9.949945063648665,7.800862791396558,3039.9379956684015,3039.9379956684015,26.295862286108818,10833.5211727305,1
P2_5_w,10.248291943452497,2.716515352326162,1656.6757518024367,1656.6757518024367,9.83039208322842,12232.675749810423,0
P2_6_f,9.540082723116404,8.499723738795185,1634.0526128047838,1634.0526128047838,23.23585109717309,11140.595181587023,1
P2_6_w,10.101526071687784,2.8285805105926234,1837.280233753865,1837.280233753865,10.664841217289641,10690.373005653264,0
P2_7_w,10.20322292330508,2.485398227650546,1209.3336778368005,1209.3336778368005,10.308011614758687,12284.166109264397,0
P2_8_w,10.311702534931152,3.2991241048827007,3501.293905099514,3501.293905099514,10.045352150123957,14124.295982455196,0
P3_1_f,11.000581380043533,10.337911837853923,3801.4363094671294,3801.4363094671294,46.678661911734366,10112.069471675914,1
P3_1_w,10.195025381705715,2.198326546639745,2781.23776720285,2781.23776720285,10.513688386574904,9322.686790834496,0
P3_2_f,9.700280869225585,5.093125956838019,2921.782296167716,2921.782296167716,18.896392729566138,8801.112940986497,1
P3_2_w,10.244155711653459,2.3864702626591128,2760.997362622447,2760.997362622447,10.28285446459299,10297.241669495768,0
P3_3_f,10.539662695885587,5.231257395678056,3374.6899748941505,3374.6899748941505,15.482512440169392,10444.13835603493,1
P3_3_w,10.228051212638446,1.6391502145026382,1791.7199793447078,1791.7199793447078,9.59319523255938,8340.802958948258,0
P3_4_f,9.75425725712963,4.6969004578731095,4284.686861233097,4284.686861233097,14.875904766433536,11883.96507904664,1
P3_4_w,10.374480115570828,2.0887524723415143,2157.5684347579504,2157.5684347579504,10.39622550207526,9213.849032841812,0
P3_5_f,10.317635630803585,6.571694589922359,2903.214099721091,2903.214099721091,28.98947393969059,9539.757544088843,1
P3_5_w,12.251511179629436,14.387135659450829,2661.52539121952,2661.52539121952,58.23544096999696,9863.100323934661,0
P3_6_f,9.50937980632941,4.166462311670474,4207.64019945793,4207.64019945793,19.777951346385702,11716.704058735972,1
P3_6_w,10.096721519503342,2.1098437176707083,1855.45533234315,1855.45533234315,10.286650044110571,8885.769353297439,0
P3_7_w,10.146161876024356,2.1469268193320947,1648.984463933812,1648.984463933812,9.537342458462945,8714.514501680515,0
P3_8_w,10.192054546499117,1.9106891983411247,2031.6640229124814,2031.6640229124814,10.80210760638867,9120.261454585609,0
P4_1_f,9.981764739447145,3.957172532142576,739.3139211595568,739.3139211595568,15.042221949565828,8724.41270229693,1
P4_1_w,9.991838253026618,2.756189853237194,1517.8201665931583,1517.8201665931583,7.560597275348027,10256.566920758622,0
P4_2_f,8.720253825032092,7.318614158000578,3000.7797627158693,3000.7797627158693,25.642931131015423,12176.629623996945,1
P4_2_w,9.917711072467167,2.5362361953904147,2516.6103546685044,2516.6103546685044,5.695450666979743,11991.530594548803,0
P4_3_f,9.62161379567726,5.613304251616766,2892.4964265799495,2892.4964265799495,15.572499036763496,19221.517447901973,1
P4_3_w,10.60586709068934,3.2793708336395095,3692.0119334670017,3692.0119334670017,9.41566505032969,13462.4352923236,0
P4_4_f,9.368480082996609,7.210647630679646,3172.9465870110635,3172.9465870110635,24.334611225577447,14118.060277531045,1
P4_4_w,10.827724082696292,2.9611178044292314,4154.329140795771,4154.329140795771,8.655891022303829,17272.349521706652,0
P4_5_f,9.996797764007841,5.284174124415933,3971.759951795836,3971.759951795836,14.991048026739158,15724.100991789643,1
P4_5_w,10.056034537698412,2.947789601133198,3344.325962746161,3344.325962746161,7.7169179501922915,14942.431294806076,0
P4_6_f,8.08331826209876,9.101950278682807,6690.953113507121,6690.953113507121,32.61817615471472,23834.643819449033,1
P4_6_w,10.61676640466904,2.664856019138884,3109.0337747915532,3109.0337747915532,8.191385867482987,12022.874905778568,0
P4_7_w,10.343332423446462,2.6076779957991434,3795.310599182503,3795.310599182503,6.9448914433560445,15122.161022816812,0
P4_8_w,4.461852068537497,9.438584051395186,5534.247876545612,5534.247876545612,11.777032062875604,13325.309564884412,0
